City_ID,City,Lat,Lng,Max Temp,Humidity,Current Description,Cloudiness,Wind Speed,Country,Date
227,Jaru,-10.4389,-62.4664,73.6,96,broken clouds,67,3.06,BR,2021-03-30 00:21:50
228,Lodja,-3.4833,23.4333,68.36,89,overcast clouds,100,1.12,CD,2021-03-30 00:21:51
229,Sydney,-33.8679,151.2073,68.0,63,broken clouds,75,17.27,AU,2021-03-30 00:19:54
230,Kerouane,9.2667,-9.0167,77.0,69,scattered clouds,43,4.43,GN,2021-03-30 00:21:52
231,Sinop,41.7711,34.8709,36.5,96,light rain,100,0.94,TR,2021-03-30 00:21:52
232,Samarai,-10.6167,150.6667,84.49,72,overcast clouds,99,10.51,PG,2021-03-30 00:18:29
233,Rudnya,54.947,31.0934,36.93,95,overcast clouds,92,10.58,RU,2021-03-30 00:21:52
234,Hambantota,6.1241,81.1185,76.03,81,overcast clouds,100,14.72,LK,2021-03-30 00:19:11
235,Manicore,-5.8092,-61.3003,75.52,95,moderate rain,71,2.04,BR,2021-03-30 00:21:53
236,Wattegama,6.7989,81.4808,73.67,85,overcast clouds,100,5.06,LK,2021-03-30 00:21:53
237,Wonthaggi,-38.6044,145.5913,63.0,67,overcast clouds,99,5.55,AU,2021-03-30 00:21:54
238,Pudozh,61.8099,36.5345,35.91,93,light rain,100,15.19,RU,2021-03-30 00:21:54
239,Codrington,-38.2667,141.9667,63.81,70,broken clouds,71,5.39,AU,2021-03-30 00:15:05
240,Pleshanovo,52.8333,53.4833,19.78,99,broken clouds,72,4.97,RU,2021-03-30 00:20:17
241,Olafsvik,64.8945,-23.7142,30.06,68,overcast clouds,100,14.83,IS,2021-03-30 00:14:51
242,Baker City,44.7749,-117.8344,42.8,36,overcast clouds,90,12.66,US,2021-03-30 00:21:34
243,Acarau,-2.8856,-40.12,77.86,85,broken clouds,54,7.76,BR,2021-03-30 00:21:55
244,Hailey,43.5196,-114.3153,35.6,21,few clouds,20,18.41,US,2021-03-30 00:21:56
